=== MO-2 GYRO CHAMBER SYSTEM ===
Gyro Detected.
Flash ID: 20 BA 21
IDLE: 'e'=Erase, 'r'=Retrieve, BTN=Log
--- START DATA ---
CYCLE_ID:1
-12,-429,-280
-13,-70,-338
71,47,-340
118,57,-198
234,88,-47
247,15,115
183,-14,276
191,-32,448
130,-6,474
145,29,430
212,-4,278
143,56,66
79,115,-142
116,150,-238
137,146,-264
99,128,160
99,198,462
-10,195,663
-68,137,770
-38,165,757
-8,159,677
81,164,577
112,133,605
95,182,681
131,176,725
230,184,696
344,208,527
423,197,475
425,223,637
506,159,638
474,163,730
601,111,786
704,107,1002
854,115,1238
956,64,1248
963,49,1137
996,84,968
968,153,791
905,259,626
638,404,469
460,491,444
433,511,587
285,548,787
-164,453,1310
-134,425,1684
-71,474,2059
-102,529,2213
-224,510,1976
-202,420,1460
-94,393,973
-97,399,644
61,362,557
450,290,740
696,96,1083
859,-131,1404
855,-296,1703
864,-429,2051
849,-642,2203
727,-666,2008
702,-559,1845
744,-446,1715
715,-409,1414
807,-334,1275
861,-223,1375
929,-113,1794
1049,17,2093
1108,-47,2136
936,-280,2146
728,-473,2274
465,-650,2469
238,-826,2813
131,-716,3573
205,-598,3536
459,-513,3404
576,-427,3337
687,-457,3308
525,-399,3407
127,-257,3645
-255,-210,3988
-532,-198,4236
-644,-131,4594
-559,-34,5014
-194,-1,5397
377,-39,5711
873,-200,5965
1559,-726,5905
1736,-1086,5837
1684,-1500,5893
1478,-1849,6125
1309,-1972,6562
1112,-1897,7068
951,-1659,7625
848,-1325,8147
763,-914,8516
699,-383,8805
859,114,8827
1045,505,8526
1288,775,8088
1510,908,7583
1867,1081,7031
2579,1010,7275
2978,974,7821
3315,977,8607
3596,964,9450
3837,843,9906
3907,614,9946
3846,217,9776
3570,-97,9674
3063,-301,9744
2390,-392,10046
1660,-301,10612
990,21,11136
691,378,11437
739,1261,11217
1783,1682,10910
2108,2053,10630
2414,2345,10386
2455,2462,10323
2282,2528,10347
2014,2519,10528
1722,2466,10804
